frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.50, 0.00, 0.00, 0.38, 0.13, 1.08, 0.00, 0.37, 0.00, 0.11, 0.42, 0.00, 0.01, 0.00, 0.88, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.101,  0.98,  1, 0.13, 0.00, 0.54, 0.23, 0.10, 0.29, 0.04, 1.29, 0.07, 0.90, 0.11, 0.25, 0.35, 0.00, 0.22, 0.00, 1.23, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
3,  0,  0.202,  0.98,  1, 0.13, 0.00, 0.43, 0.23, 0.10, 0.16, 0.00, 1.35, 0.07, 0.97, 0.11, 0.21, 0.22, 0.11, 0.26, 0.00, 1.37, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.302,  0.98,  1, 0.04, 0.00, 0.46, 0.00, 0.10, 0.57, 0.00, 1.23, 0.00, 1.00, 0.08, 0.34, 0.11, 0.23, 0.25, 0.24, 1.08, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
5,  0,  0.403,  0.98,  1, 0.15, 0.00, 0.55, 0.00, 0.00, 0.86, 0.00, 1.20, 0.00, 0.97, 0.07, 0.48, 0.00, 0.23, 0.32, 0.48, 0.80, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.31, 0.15, 0.79, 0.00, 0.00, 1.41, 0.00, 1.27, 0.00, 1.30, 0.07, 0.80, 0.00, 0.12, 0.46, 0.69, 0.60, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 0.29, 0.15, 0.95, 0.00, 0.00, 1.29, 0.00, 1.22, 0.00, 1.42, 0.00, 0.77, 0.00, 0.01, 0.25, 0.68, 0.40, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.705,  0.98,  1, 0.17, 0.20, 1.05, 0.00, 0.00, 1.13, 0.00, 0.97, 0.00, 1.14, 0.00, 0.89, 0.00, 0.10, 0.18, 0.92, 0.28, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 0.06, 0.04, 1.18, 0.00, 0.00, 0.90, 0.00, 0.78, 0.00, 0.86, 0.00, 0.91, 0.00, 0.13, 0.00, 1.30, 0.23, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.04, 0.04, 1.29, 0.00, 0.00, 0.83, 0.00, 0.71, 0.00, 0.68, 0.00, 0.80, 0.09, 0.17, 0.13, 1.58, 0.18, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.04, 0.00, 1.40, 0.00, 0.00, 0.80, 0.00, 0.65, 0.00, 0.78, 0.00, 0.72, 0.19, 0.12, 0.40, 1.74, 0.18, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
