frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.41, 0.90, 1.48, 0.46, 0.00, 0.00, 0.00, 1.19, 0.44, 1.58, 0.00, 0.09, 0.00, 0.10, 0.77, 0.88, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.28, 0.79, 1.49, 0.33, 0.00, 0.00, 0.00, 1.30, 0.45, 1.46, 0.09, 0.05, 0.00, 0.11, 0.78, 0.89, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.25, 0.87, 1.53, 0.31, 0.00, 0.00, 0.00, 1.36, 0.47, 1.40, 0.09, 0.03, 0.00, 0.08, 0.72, 0.91, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.24, 0.72, 1.49, 0.21, 0.00, 0.00, 0.00, 1.30, 0.49, 1.35, 0.09, 0.02, 0.00, 0.02, 0.61, 1.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.23, 0.77, 1.53, 0.13, 0.00, 0.00, 0.00, 1.26, 0.41, 1.33, 0.00, 0.00, 0.00, 0.00, 0.51, 0.93, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.17, 0.57, 1.61, 0.00, 0.00, 0.00, 0.00, 1.22, 0.41, 1.33, 0.00, 0.05, 0.00, 0.00, 0.53, 0.98, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.202,  0.98,  1, 0.22, 0.64, 1.70, 0.00, 0.00, 0.00, 0.00, 1.23, 0.39, 1.27, 0.00, 0.14, 0.00, 0.00, 0.61, 0.97, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.23, 0.56, 1.70, 0.00, 0.00, 0.00, 0.00, 1.18, 0.37, 1.29, 0.01, 0.22, 0.00, 0.00, 0.71, 1.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.28, 0.57, 1.61, 0.00, 0.00, 0.00, 0.00, 1.14, 0.34, 1.19, 0.01, 0.18, 0.00, 0.00, 0.69, 1.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.302,  0.98,  1, 0.21, 0.53, 1.63, 0.00, 0.00, 0.00, 0.00, 1.17, 0.32, 1.11, 0.01, 0.08, 0.00, 0.00, 0.71, 0.83, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
