frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.53, 0.23, 1.17, 0.00, 0.83, 0.00, 0.00, 2.94, 0.00, 0.91, 0.59, 0.87, 0.00, 0.00, 0.29, 0.42, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
2,  0,  0.042,  0.98,  1, 0.24, 0.08, 1.42, 0.00, 0.71, 0.00, 0.00, 2.60, 0.23, 1.65, 1.57, 0.47, 0.00, 0.00, 0.12, 0.22, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.083,  0.98,  1, 0.06, 0.00, 1.57, 0.00, 0.70, 0.00, 0.00, 2.30, 0.27, 2.11, 2.01, 0.44, 0.09, 0.00, 0.03, 0.24, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
4,  0,  0.125,  0.98,  1, 0.03, 0.00, 1.54, 0.00, 0.74, 0.00, 0.00, 2.13, 0.24, 2.13, 1.42, 0.50, 0.09, 0.00, 0.36, 0.34, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.167,  0.98,  1, 0.00, 0.00, 1.28, 0.00, 0.65, 0.00, 0.00, 1.87, 0.21, 1.70, 0.93, 0.43, 0.09, 0.00, 0.61, 0.34, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.209,  0.98,  1, 0.01, 0.00, 1.04, 0.00, 0.49, 0.00, 0.00, 2.01, 0.27, 1.60, 0.42, 0.17, 0.00, 0.00, 0.80, 0.32, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.250,  0.98,  1, 0.01, 0.00, 0.96, 0.00, 0.27, 0.00, 0.00, 2.23, 0.22, 1.90, 0.23, 0.28, 0.00, 0.00, 0.64, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.292,  0.98,  1, 0.01, 0.03, 0.87, 0.00, 0.17, 0.00, 0.00, 2.35, 0.12, 2.28, 0.29, 0.17, 0.00, 0.00, 0.57, 0.24, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.334,  0.98,  1, 0.00, 0.03, 0.89, 0.00, 0.07, 0.00, 0.00, 2.41, 0.10, 2.25, 0.15, 0.17, 0.00, 0.00, 0.76, 0.10, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.375,  0.98,  1, 0.02, 0.03, 0.95, 0.00, 0.19, 0.00, 0.00, 2.32, 0.19, 2.01, 0.15, 0.15, 0.00, 0.00, 1.02, 0.21, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
