frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 1.51, 0.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 1.22, 0.43, 0.83, 0.00, 0.00, 0.30, 0.00, 0.02, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.061,  0.98,  1, 1.43, 0.83, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.45, 1.07, 0.28, 0.96, 0.00, 0.00, 0.26, 0.00, 0.20, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.121,  0.98,  1, 1.44, 0.84, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.38, 1.00, 0.13, 1.09, 0.00, 0.00, 0.29, 0.00, 0.29, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 1.57, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 1.07, 0.00, 1.02, 0.00, 0.00, 0.33, 0.00, 0.25, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.243,  0.98,  1, 1.60, 0.84, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 1.08, 0.00, 1.10, 0.00, 0.00, 0.45, 0.10, 0.14, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.303,  0.98,  1, 1.62, 0.84, 0.15, 0.00, 0.00, 0.06, 0.00, 0.00, 0.14, 1.01, 0.02, 0.98, 0.00, 0.00, 0.37, 0.10, 0.11, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.364,  0.98,  1, 1.55, 0.69, 0.27, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.84, 0.09, 1.08, 0.00, 0.00, 0.23, 0.38, 0.20, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.425,  0.98,  1, 1.42, 0.49, 0.34, 0.00, 0.00, 0.09, 0.00, 0.00, 0.14, 0.74, 0.09, 0.93, 0.00, 0.00, 0.16, 0.60, 0.20, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.485,  0.98,  1, 1.24, 0.31, 0.46, 0.00, 0.00, 0.08, 0.00, 0.00, 0.15, 0.78, 0.06, 0.85, 0.00, 0.00, 0.22, 0.96, 0.14, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.546,  0.98,  1, 1.00, 0.23, 0.48, 0.00, 0.00, 0.11, 0.00, 0.00, 0.18, 0.90, 0.00, 0.48, 0.00, 0.00, 0.47, 0.91, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
