frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.97, 0.28, 1.08, 0.03, 1.19, 2.10, 0.00, 1.58, 0.46, 2.21, 0.00, 0.33, 0.45, 0.00, 0.18, 1.44, 0.98, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00
2,  0,  0.034,  0.98,  1, 0.78, 0.33, 0.96, 0.01, 1.23, 2.08, 0.00, 1.72, 0.39, 2.13, 0.00, 0.32, 0.74, 0.00, 0.32, 1.33, 0.84, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00
3,  0,  0.067,  0.98,  1, 0.68, 0.34, 0.85, 0.00, 1.25, 2.08, 0.00, 1.83, 0.37, 2.09, 0.00, 0.36, 0.77, 0.00, 0.36, 1.13, 0.84, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00
4,  0,  0.101,  0.98,  1, 0.63, 0.37, 0.78, 0.00, 1.31, 2.03, 0.00, 1.94, 0.41, 2.12, 0.00, 0.44, 0.82, 0.05, 0.25, 0.89, 0.88, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.134,  0.98,  1, 0.64, 0.34, 0.74, 0.00, 1.40, 2.12, 0.00, 1.98, 0.44, 2.13, 0.02, 0.40, 0.66, 0.12, 0.15, 0.46, 0.81, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.168,  0.98,  1, 0.56, 0.35, 0.69, 0.00, 1.46, 2.04, 0.00, 2.00, 0.48, 2.20, 0.02, 0.36, 0.75, 0.12, 0.06, 0.19, 0.74, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.202,  0.98,  1, 0.50, 0.24, 0.70, 0.04, 1.46, 1.99, 0.00, 1.96, 0.49, 2.19, 0.02, 0.33, 0.70, 0.09, 0.03, 0.23, 0.69, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.235,  0.98,  1, 0.38, 0.15, 0.72, 0.04, 1.45, 1.93, 0.00, 1.93, 0.50, 2.11, 0.00, 0.33, 0.73, 0.02, 0.02, 0.43, 0.71, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.269,  0.98,  1, 0.39, 0.11, 0.80, 0.09, 1.48, 2.05, 0.00, 1.85, 0.47, 1.90, 0.00, 0.31, 0.55, 0.08, 0.02, 0.59, 0.65, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.303,  0.98,  1, 0.36, 0.17, 0.84, 0.10, 1.52, 2.20, 0.00, 1.78, 0.46, 1.84, 0.00, 0.26, 0.41, 0.12, 0.00, 0.52, 0.65, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
