frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.92, 0.00, 1.21, 1.67, 0.47, 0.42, 1.28, 1.21, 0.25, 0.00, 0.51, 0.00, 1.42, 0.35, 1.39, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
2,  0,  0.034,  0.98,  1, 0.00, 0.00, 0.87, 0.00, 1.04, 1.58, 0.30, 0.75, 1.20, 1.24, 0.08, 0.03, 0.17, 0.00, 0.92, 0.12, 1.03, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
3,  0,  0.067,  0.98,  1, 0.00, 0.00, 0.81, 0.00, 0.90, 1.55, 0.14, 0.83, 1.17, 1.15, 0.00, 0.03, 0.05, 0.00, 0.56, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
4,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.77, 0.00, 0.80, 1.31, 0.05, 0.91, 1.15, 1.22, 0.00, 0.01, 0.05, 0.00, 0.51, 0.00, 0.46, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
5,  0,  0.134,  0.98,  1, 0.00, 0.00, 0.85, 0.00, 0.76, 1.30, 0.05, 0.94, 1.13, 1.10, 0.00, 0.00, 0.05, 0.00, 0.40, 0.00, 0.46, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
6,  0,  0.168,  0.98,  1, 0.00, 0.00, 0.89, 0.00, 0.74, 1.08, 0.11, 1.06, 1.06, 1.19, 0.00, 0.02, 0.00, 0.00, 0.38, 0.00, 0.52, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
7,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.95, 0.00, 0.71, 1.01, 0.18, 1.00, 0.97, 1.14, 0.00, 0.02, 0.00, 0.00, 0.25, 0.00, 0.57, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
8,  0,  0.235,  0.98,  1, 0.00, 0.00, 0.93, 0.00, 0.71, 0.96, 0.22, 0.89, 0.98, 1.38, 0.00, 0.02, 0.00, 0.00, 0.20, 0.00, 0.58, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
9,  0,  0.269,  0.98,  1, 0.00, 0.00, 0.92, 0.00, 0.72, 1.00, 0.21, 0.89, 1.01, 1.42, 0.00, 0.00, 0.00, 0.00, 0.29, 0.02, 0.55, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
10,  0,  0.302,  0.98,  1, 0.00, 0.00, 0.86, 0.00, 0.79, 1.04, 0.14, 0.81, 1.07, 1.43, 0.00, 0.00, 0.00, 0.00, 0.35, 0.02, 0.55, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
