frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.06, 1.18, 0.00, 0.00, 0.00, 0.00, 1.02, 0.77, 1.90, 0.08, 0.00, 0.33, 0.58, 0.18, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.04, 0.06, 1.35, 0.00, 0.00, 0.00, 0.00, 1.19, 0.81, 1.79, 0.03, 0.00, 0.37, 0.45, 0.29, 0.00, 0.09, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.04, 0.09, 1.42, 0.00, 0.00, 0.00, 0.00, 1.20, 0.79, 1.70, 0.00, 0.00, 0.37, 0.39, 0.28, 0.00, 0.30, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.04, 0.08, 1.38, 0.00, 0.00, 0.00, 0.00, 1.11, 0.75, 1.69, 0.00, 0.00, 0.42, 0.39, 0.29, 0.00, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.02, 0.21, 1.39, 0.00, 0.00, 0.00, 0.00, 1.04, 0.72, 1.61, 0.04, 0.00, 0.33, 0.30, 0.31, 0.00, 0.37, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.02, 0.16, 1.34, 0.00, 0.00, 0.00, 0.00, 1.12, 0.73, 1.61, 0.09, 0.00, 0.36, 0.23, 0.38, 0.00, 0.22, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.202,  0.98,  1, 0.03, 0.13, 1.39, 0.00, 0.00, 0.00, 0.00, 1.18, 0.76, 1.63, 0.14, 0.00, 0.26, 0.16, 0.34, 0.00, 0.17, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.02, 0.00, 1.29, 0.00, 0.00, 0.00, 0.00, 1.20, 0.70, 1.59, 0.23, 0.00, 0.17, 0.18, 0.27, 0.00, 0.07, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.02, 0.00, 1.25, 0.00, 0.00, 0.00, 0.00, 1.17, 0.66, 1.49, 0.19, 0.00, 0.02, 0.17, 0.26, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.302,  0.98,  1, 0.00, 0.00, 1.31, 0.00, 0.00, 0.00, 0.00, 1.24, 0.61, 1.34, 0.18, 0.00, 0.01, 0.15, 0.44, 0.04, 0.09, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.336,  0.98,  1, 0.03, 0.04, 1.45, 0.00, 0.00, 0.00, 0.00, 1.35, 0.65, 1.32, 0.04, 0.00, 0.00, 0.08, 0.61, 0.15, 0.09, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.370,  0.98,  1, 0.03, 0.10, 1.57, 0.00, 0.00, 0.00, 0.00, 1.46, 0.64, 1.38, 0.04, 0.00, 0.00, 0.03, 0.69, 0.15, 0.20, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.403,  0.98,  1, 0.03, 0.15, 1.51, 0.00, 0.00, 0.00, 0.00, 1.41, 0.67, 1.48, 0.00, 0.00, 0.00, 0.04, 0.64, 0.13, 0.11, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.437,  0.98,  1, 0.00, 0.11, 1.53, 0.00, 0.00, 0.00, 0.00, 1.42, 0.63, 1.51, 0.00, 0.00, 0.00, 0.07, 0.50, 0.12, 0.12, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.470,  0.98,  1, 0.01, 0.05, 1.51, 0.00, 0.00, 0.00, 0.00, 1.39, 0.65, 1.47, 0.00, 0.00, 0.00, 0.06, 0.46, 0.24, 0.01, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.504,  0.98,  1, 0.03, 0.11, 1.57, 0.00, 0.00, 0.00, 0.00, 1.51, 0.70, 1.55, 0.00, 0.00, 0.00, 0.03, 0.47, 0.43, 0.04, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.538,  0.98,  1, 0.03, 0.15, 1.56, 0.00, 0.00, 0.00, 0.00, 1.51, 0.72, 1.64, 0.00, 0.00, 0.00, 0.03, 0.57, 0.45, 0.12, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.571,  0.98,  1, 0.02, 0.21, 1.57, 0.00, 0.00, 0.00, 0.00, 1.54, 0.74, 1.69, 0.00, 0.00, 0.00, 0.04, 0.60, 0.41, 0.18, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.605,  0.98,  1, 0.00, 0.29, 1.54, 0.00, 0.00, 0.00, 0.00, 1.55, 0.71, 1.63, 0.00, 0.00, 0.00, 0.06, 0.50, 0.21, 0.24, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.638,  0.98,  1, 0.00, 0.36, 1.56, 0.00, 0.00, 0.00, 0.00, 1.56, 0.71, 1.58, 0.00, 0.00, 0.00, 0.03, 0.58, 0.27, 0.14, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.672,  0.98,  1, 0.03, 0.36, 1.62, 0.00, 0.00, 0.00, 0.00, 1.61, 0.67, 1.58, 0.00, 0.00, 0.00, 0.02, 0.68, 0.24, 0.24, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
22,  0,  0.706,  0.98,  1, 0.06, 0.24, 1.64, 0.00, 0.00, 0.00, 0.00, 1.54, 0.64, 1.53, 0.00, 0.00, 0.00, 0.00, 0.82, 0.32, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
23,  0,  0.739,  0.98,  1, 0.10, 0.27, 1.57, 0.00, 0.00, 0.00, 0.00, 1.62, 0.59, 1.44, 0.00, 0.00, 0.00, 0.00, 0.74, 0.29, 0.42, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
24,  0,  0.773,  0.98,  1, 0.15, 0.38, 1.48, 0.00, 0.00, 0.00, 0.00, 1.61, 0.57, 1.31, 0.00, 0.00, 0.00, 0.00, 0.68, 0.41, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
25,  0,  0.806,  0.98,  1, 0.12, 0.32, 1.52, 0.00, 0.00, 0.00, 0.01, 1.66, 0.54, 1.26, 0.00, 0.00, 0.11, 0.00, 0.72, 0.57, 0.22, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
26,  0,  0.840,  0.98,  1, 0.08, 0.22, 1.58, 0.00, 0.00, 0.00, 0.01, 1.62, 0.52, 1.21, 0.00, 0.00, 0.11, 0.00, 0.81, 0.65, 0.14, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
27,  0,  0.874,  0.98,  1, 0.00, 0.06, 1.61, 0.03, 0.00, 0.00, 0.01, 1.60, 0.50, 1.28, 0.00, 0.00, 0.11, 0.00, 0.88, 0.65, 0.17, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
28,  0,  0.907,  0.98,  1, 0.00, 0.03, 1.59, 0.03, 0.00, 0.00, 0.00, 1.49, 0.50, 1.28, 0.00, 0.00, 0.04, 0.00, 0.94, 0.70, 0.09, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
29,  0,  0.941,  0.98,  1, 0.00, 0.02, 1.57, 0.03, 0.00, 0.00, 0.00, 1.35, 0.47, 1.28, 0.00, 0.00, 0.04, 0.00, 1.02, 0.67, 0.03, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
