frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.06, 0.00, 2.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 1.04, 0.01, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.02, 0.00, 2.39, 0.00, 0.11, 0.10, 0.00, 0.00, 0.00, 0.20, 0.00, 0.10, 0.00, 0.95, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.202,  0.98,  1, 0.77, 0.68, 2.12, 0.23, 0.11, 0.10, 0.00, 0.00, 0.00, 0.08, 0.00, 0.42, 0.00, 1.25, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 1.60, 1.38, 1.98, 0.23, 0.04, 0.00, 0.00, 0.00, 0.00, 0.08, 0.00, 0.99, 0.21, 1.03, 0.00, 0.00, 0.08, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.88,  1, 2.41, 1.73, 1.77, 0.23, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.16, 1.17, 0.43, 0.74, 0.00, 0.00, 0.57, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.88,  1, 2.03, 1.05, 1.68, 0.00, 0.00, 0.22, 0.01, 0.05, 0.00, 0.00, 0.20, 0.96, 0.58, 0.10, 0.00, 0.05, 0.57, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 1.64, 0.56, 1.89, 0.08, 0.00, 0.22, 0.06, 0.08, 0.00, 0.00, 0.20, 0.57, 0.38, 0.00, 0.26, 0.35, 0.50, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
8,  0,  0.706,  0.88,  1, 0.90, 0.21, 1.97, 0.08, 0.00, 0.22, 0.05, 0.08, 0.00, 0.00, 0.05, 0.42, 0.15, 0.10, 0.54, 0.42, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.807,  0.88,  1, 0.65, 0.21, 2.09, 0.28, 0.00, 0.00, 0.05, 0.03, 0.00, 0.00, 0.00, 0.30, 0.00, 0.26, 0.78, 0.39, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.47, 0.08, 1.95, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.00, 0.26, 0.72, 0.09, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.91, 0.49, 1.88, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.29, 0.00, 0.16, 0.52, 0.10, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0,  1.109,  0.98,  1, 1.60, 0.92, 1.75, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.48, 0.25, 0.00, 0.28, 0.08, 0.11, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0,  1.210,  0.98,  1, 2.11, 1.41, 1.75, 1.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.07, 0.55, 0.65, 0.00, 0.13, 0.08, 0.18, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  1.311,  0.88,  1, 2.72, 1.52, 1.78, 1.07, 0.08, 0.00, 0.00, 0.00, 0.00, 0.06, 0.24, 0.47, 1.05, 0.00, 0.12, 0.00, 1.13, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
