frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 1.00, 0.08, 0.10, 0.00, 0.00, 0.00, 0.00, 1.80, 0.44, 1.02, 0.00, 0.43, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.101,  0.98,  1, 1.16, 0.28, 0.45, 0.00, 0.00, 0.00, 0.00, 2.01, 0.38, 1.11, 0.00, 0.62, 0.00, 0.00, 0.00, 0.03, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.202,  0.98,  1, 1.28, 0.37, 0.56, 0.01, 0.00, 0.00, 0.00, 2.16, 0.26, 1.14, 0.00, 0.81, 0.00, 0.00, 0.04, 0.11, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.303,  0.98,  1, 1.02, 0.49, 0.43, 0.06, 0.00, 0.00, 0.00, 2.09, 0.23, 1.27, 0.00, 0.89, 0.00, 0.00, 0.08, 0.17, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.78, 0.44, 0.22, 0.16, 0.00, 0.00, 0.00, 2.06, 0.26, 1.20, 0.00, 0.76, 0.00, 0.00, 0.10, 0.17, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.46, 0.53, 0.08, 0.24, 0.00, 0.00, 0.00, 1.95, 0.34, 1.15, 0.00, 0.63, 0.00, 0.00, 0.08, 0.06, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 0.39, 0.27, 0.05, 0.18, 0.00, 0.00, 0.00, 2.03, 0.38, 1.14, 0.00, 0.53, 0.00, 0.00, 0.05, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.706,  0.98,  1, 0.29, 0.25, 0.00, 0.31, 0.00, 0.00, 0.00, 2.03, 0.37, 1.16, 0.00, 0.60, 0.00, 0.00, 0.04, 0.01, 0.02, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.807,  0.98,  1, 0.25, 0.12, 0.00, 0.24, 0.00, 0.00, 0.00, 2.04, 0.37, 1.24, 0.00, 0.61, 0.00, 0.00, 0.01, 0.00, 0.02, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.908,  0.98,  1, 0.43, 0.41, 0.07, 0.59, 0.00, 0.00, 0.00, 1.98, 0.30, 1.25, 0.24, 0.93, 0.00, 0.00, 0.07, 0.00, 0.02, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
