frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.49, 1.47, 2.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.11, 0.17, 0.01, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.55, 1.30, 2.30, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.30, 0.00, 0.01, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.04, 0.62, 1.09, 1.74, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.303,  0.98,  1, 0.00, 0.00, 0.32, 0.00, 0.00, 0.11, 0.00, 0.22, 0.00, 0.13, 0.00, 0.70, 0.04, 0.24, 0.64, 0.89, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.28, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 0.44, 0.00, 1.09, 0.04, 0.24, 0.86, 0.69, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
6,  0,  0.504,  0.98,  1, 0.38, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.96, 0.00, 0.70, 0.00, 0.88, 0.00, 0.05, 1.10, 0.63, 0.79, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
7,  0,  0.605,  0.98,  1, 0.77, 0.00, 0.48, 0.00, 0.00, 0.00, 0.00, 0.79, 0.00, 0.75, 0.00, 0.68, 0.00, 0.16, 1.48, 0.77, 0.57, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
8,  0,  0.706,  0.98,  1, 0.81, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 0.49, 0.00, 0.67, 0.00, 0.34, 0.00, 0.30, 1.72, 0.82, 0.47, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
9,  0,  0.807,  0.98,  1, 1.10, 0.00, 0.74, 0.08, 0.00, 0.00, 0.00, 0.14, 0.00, 0.46, 0.00, 0.35, 0.00, 0.38, 1.63, 0.84, 0.24, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
10,  0,  0.908,  0.98,  1, 0.90, 0.00, 0.72, 0.08, 0.00, 0.00, 0.00, 0.08, 0.00, 0.28, 0.00, 0.43, 0.00, 0.54, 1.46, 0.87, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00
