frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.28, 0.00, 0.07, 0.00, 0.00, 0.91, 0.70, 0.85, 0.00, 0.46, 0.00, 1.69, 0.54, 1.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.00, 0.00, 1.42, 0.00, 0.02, 0.00, 0.00, 0.97, 0.75, 1.02, 0.03, 0.69, 0.27, 1.72, 0.29, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.068,  0.98,  1, 0.00, 0.00, 1.46, 0.00, 0.00, 0.00, 0.00, 0.98, 0.73, 1.17, 0.17, 0.86, 0.44, 1.76, 0.13, 0.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.102,  0.98,  1, 0.04, 0.00, 1.51, 0.00, 0.00, 0.00, 0.00, 1.02, 0.68, 1.06, 0.16, 1.01, 0.48, 1.82, 0.17, 0.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.136,  0.98,  1, 0.04, 0.00, 1.41, 0.00, 0.06, 0.00, 0.00, 1.02, 0.77, 1.10, 0.16, 0.99, 0.34, 1.81, 0.21, 1.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.169,  0.98,  1, 0.12, 0.00, 1.39, 0.00, 0.06, 0.00, 0.00, 1.10, 0.87, 1.11, 0.04, 0.88, 0.29, 1.48, 0.21, 1.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.203,  0.98,  1, 0.07, 0.00, 1.25, 0.00, 0.06, 0.00, 0.00, 1.13, 0.92, 1.21, 0.05, 0.69, 0.19, 1.23, 0.12, 0.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.237,  0.98,  1, 0.07, 0.00, 1.27, 0.00, 0.03, 0.00, 0.00, 1.21, 0.85, 1.34, 0.08, 0.65, 0.13, 0.84, 0.02, 0.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.271,  0.98,  1, 0.00, 0.00, 1.26, 0.00, 0.03, 0.00, 0.02, 1.23, 0.86, 1.59, 0.07, 0.60, 0.01, 0.67, 0.01, 0.71, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.305,  0.98,  1, 0.00, 0.00, 1.29, 0.00, 0.03, 0.00, 0.02, 1.24, 0.84, 1.84, 0.03, 0.55, 0.00, 0.32, 0.01, 0.55, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.339,  0.98,  1, 0.01, 0.00, 1.24, 0.00, 0.00, 0.00, 0.02, 1.22, 0.89, 1.88, 0.00, 0.34, 0.00, 0.19, 0.01, 0.47, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.373,  0.98,  1, 0.01, 0.00, 1.23, 0.00, 0.00, 0.00, 0.00, 1.28, 0.87, 1.77, 0.00, 0.29, 0.00, 0.10, 0.01, 0.34, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.407,  0.98,  1, 0.01, 0.00, 1.28, 0.00, 0.00, 0.00, 0.00, 1.27, 0.93, 1.64, 0.00, 0.18, 0.00, 0.04, 0.00, 0.22, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.440,  0.98,  1, 0.00, 0.00, 1.34, 0.00, 0.00, 0.00, 0.00, 1.20, 0.95, 1.68, 0.00, 0.23, 0.00, 0.04, 0.01, 0.22, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
