frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.35, 0.00, 1.02, 0.00, 0.00, 0.00, 0.00, 0.82, 0.74, 1.41, 0.07, 0.00, 0.19, 0.00, 0.00, 0.42, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.32, 0.16, 1.10, 0.08, 0.00, 0.00, 0.00, 0.80, 0.76, 1.56, 0.02, 0.10, 0.24, 0.00, 0.00, 0.20, 0.12, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.068,  0.98,  1, 0.28, 0.16, 1.14, 0.08, 0.00, 0.00, 0.00, 0.82, 0.77, 1.59, 0.00, 0.10, 0.23, 0.00, 0.00, 0.06, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.102,  0.98,  1, 0.24, 0.15, 1.20, 0.00, 0.00, 0.00, 0.00, 0.80, 0.77, 1.53, 0.00, 0.02, 0.20, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.135,  0.98,  1, 0.19, 0.17, 1.14, 0.00, 0.00, 0.00, 0.00, 0.85, 0.81, 1.59, 0.00, 0.03, 0.11, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.169,  0.98,  1, 0.14, 0.23, 1.06, 0.00, 0.00, 0.00, 0.00, 0.80, 0.83, 1.56, 0.00, 0.03, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.203,  0.98,  1, 0.12, 0.17, 0.98, 0.00, 0.00, 0.00, 0.00, 0.80, 0.84, 1.44, 0.00, 0.03, 0.05, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.237,  0.98,  1, 0.07, 0.07, 0.95, 0.07, 0.00, 0.00, 0.00, 0.73, 0.80, 1.40, 0.00, 0.00, 0.02, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.271,  0.98,  1, 0.10, 0.10, 0.96, 0.09, 0.00, 0.00, 0.00, 0.75, 0.79, 1.51, 0.00, 0.00, 0.02, 0.00, 0.00, 0.04, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.305,  0.98,  1, 0.18, 0.25, 0.88, 0.18, 0.00, 0.00, 0.00, 0.73, 0.78, 1.64, 0.00, 0.00, 0.04, 0.00, 0.00, 0.03, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.338,  0.98,  1, 0.24, 0.31, 0.91, 0.20, 0.00, 0.00, 0.00, 0.84, 0.79, 1.71, 0.00, 0.00, 0.10, 0.00, 0.00, 0.03, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.372,  0.98,  1, 0.22, 0.22, 0.91, 0.30, 0.00, 0.00, 0.00, 0.79, 0.77, 1.61, 0.00, 0.00, 0.13, 0.00, 0.00, 0.03, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.406,  0.98,  1, 0.14, 0.07, 1.01, 0.21, 0.00, 0.00, 0.00, 0.77, 0.78, 1.63, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
