frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.98, 0.06, 0.63, 0.37, 0.00, 0.00, 0.00, 0.10, 0.00, 0.84, 0.30, 0.03, 0.00, 0.00, 0.11, 0.00, 0.15, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.061,  0.98,  1, 1.05, 0.14, 0.67, 0.21, 0.00, 0.00, 0.00, 0.09, 0.00, 0.87, 0.17, 0.05, 0.00, 0.00, 0.04, 0.04, 0.13, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.121,  0.98,  1, 1.05, 0.31, 0.69, 0.09, 0.00, 0.00, 0.00, 0.14, 0.00, 0.84, 0.09, 0.04, 0.00, 0.00, 0.00, 0.04, 0.13, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 0.93, 0.28, 0.76, 0.08, 0.00, 0.00, 0.00, 0.22, 0.00, 0.87, 0.08, 0.01, 0.00, 0.00, 0.00, 0.04, 0.05, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.243,  0.98,  1, 0.83, 0.37, 0.71, 0.15, 0.00, 0.00, 0.00, 0.20, 0.00, 0.72, 0.16, 0.01, 0.00, 0.00, 0.00, 0.00, 0.10, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.303,  0.98,  1, 0.79, 0.21, 0.74, 0.15, 0.00, 0.00, 0.00, 0.13, 0.00, 0.78, 0.16, 0.01, 0.00, 0.00, 0.00, 0.00, 0.15, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.364,  0.98,  1, 0.83, 0.24, 0.72, 0.07, 0.00, 0.00, 0.00, 0.05, 0.00, 0.82, 0.25, 0.06, 0.01, 0.00, 0.00, 0.00, 0.22, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.425,  0.98,  1, 0.86, 0.24, 0.71, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.98, 0.36, 0.06, 0.01, 0.00, 0.00, 0.00, 0.17, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.485,  0.98,  1, 0.87, 0.21, 0.63, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 1.09, 0.55, 0.12, 0.01, 0.00, 0.00, 0.00, 0.14, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.546,  0.98,  1, 0.93, 0.15, 0.64, 0.03, 0.00, 0.13, 0.00, 0.16, 0.00, 1.02, 0.47, 0.07, 0.00, 0.00, 0.00, 0.00, 0.08, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.607,  0.98,  1, 0.92, 0.06, 0.54, 0.03, 0.00, 0.13, 0.00, 0.13, 0.00, 0.98, 0.43, 0.07, 0.10, 0.00, 0.00, 0.00, 0.14, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.667,  0.98,  1, 0.87, 0.06, 0.56, 0.03, 0.00, 0.16, 0.00, 0.17, 0.00, 0.78, 0.28, 0.02, 0.10, 0.00, 0.00, 0.00, 0.10, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.728,  0.98,  1, 0.72, 0.01, 0.49, 0.00, 0.00, 0.03, 0.00, 0.15, 0.00, 0.73, 0.34, 0.09, 0.10, 0.00, 0.00, 0.00, 0.16, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
