frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.29, 0.00, 1.61, 2.11, 0.34, 0.46, 1.64, 0.76, 0.00, 0.00, 0.00, 1.04, 0.00, 0.76, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.034,  0.98,  1, 0.00, 0.00, 0.60, 0.00, 1.69, 2.12, 0.64, 0.72, 1.64, 1.02, 0.00, 0.00, 0.00, 0.48, 0.00, 0.73, 0.40, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.00, 0.00, 0.86, 0.00, 1.67, 2.12, 0.78, 0.88, 1.59, 1.13, 0.00, 0.00, 0.00, 0.14, 0.00, 0.77, 0.34, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.99, 0.00, 1.61, 1.93, 0.68, 0.89, 1.59, 1.04, 0.03, 0.00, 0.00, 0.03, 0.00, 0.56, 0.56, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.134,  0.98,  1, 0.00, 0.00, 1.15, 0.00, 1.58, 1.99, 0.72, 0.86, 1.52, 1.10, 0.08, 0.00, 0.00, 0.00, 0.00, 0.51, 0.56, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.168,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 1.63, 1.98, 0.77, 0.79, 1.52, 1.02, 0.11, 0.00, 0.00, 0.00, 0.00, 0.40, 0.74, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.202,  0.98,  1, 0.00, 0.00, 1.18, 0.00, 1.65, 2.11, 0.83, 0.79, 1.52, 1.14, 0.07, 0.00, 0.00, 0.00, 0.00, 0.46, 0.73, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.235,  0.98,  1, 0.05, 0.00, 1.05, 0.00, 1.64, 1.86, 0.77, 0.81, 1.51, 1.14, 0.02, 0.00, 0.00, 0.00, 0.00, 0.42, 0.75, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.269,  0.98,  1, 0.05, 0.00, 0.91, 0.00, 1.60, 1.71, 0.66, 0.82, 1.52, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.70, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.302,  0.98,  1, 0.10, 0.00, 0.93, 0.00, 1.61, 1.64, 0.63, 0.77, 1.49, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.67, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
