frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 2.40, 0.13, 0.43, 0.00, 0.00, 1.40, 0.12, 0.00, 0.00, 0.00, 1.08, 0.00, 0.29, 0.00, 0.08, 0.00, 2.29, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
2,  0,  0.034,  0.98,  1, 2.56, 0.08, 0.42, 0.00, 0.00, 1.57, 0.04, 0.00, 0.00, 0.00, 0.52, 0.00, 0.58, 0.00, 0.30, 0.04, 2.39, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.067,  0.98,  1, 2.67, 0.04, 0.41, 0.00, 0.00, 1.60, 0.02, 0.00, 0.00, 0.00, 0.16, 0.00, 0.76, 0.00, 0.41, 0.07, 2.63, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
4,  0,  0.101,  0.98,  1, 2.68, 0.03, 0.41, 0.00, 0.00, 1.65, 0.08, 0.00, 0.00, 0.00, 0.41, 0.00, 0.84, 0.00, 0.59, 0.07, 2.85, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.134,  0.98,  1, 2.61, 0.00, 0.46, 0.00, 0.00, 1.48, 0.08, 0.00, 0.00, 0.00, 0.37, 0.00, 0.68, 0.00, 0.46, 0.09, 3.04, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.168,  0.98,  1, 2.53, 0.00, 0.50, 0.00, 0.00, 1.46, 0.06, 0.00, 0.00, 0.00, 0.71, 0.00, 0.41, 0.00, 0.54, 0.05, 3.04, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.202,  0.98,  1, 2.64, 0.11, 0.53, 0.00, 0.00, 1.37, 0.00, 0.00, 0.00, 0.00, 0.47, 0.00, 0.29, 0.00, 0.65, 0.05, 3.06, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.235,  0.98,  1, 2.70, 0.18, 0.53, 0.00, 0.00, 1.40, 0.00, 0.00, 0.00, 0.00, 0.43, 0.02, 0.18, 0.00, 0.52, 0.00, 3.04, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.269,  0.98,  1, 2.78, 0.32, 0.50, 0.00, 0.00, 1.31, 0.02, 0.00, 0.00, 0.00, 0.15, 0.02, 0.46, 0.00, 0.37, 0.04, 2.94, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.302,  0.98,  1, 2.77, 0.28, 0.50, 0.00, 0.00, 1.21, 0.02, 0.00, 0.00, 0.00, 0.12, 0.02, 0.52, 0.00, 0.13, 0.04, 2.89, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.336,  0.98,  1, 2.80, 0.23, 0.53, 0.00, 0.00, 1.17, 0.02, 0.00, 0.00, 0.00, 0.12, 0.00, 0.53, 0.00, 0.17, 0.04, 2.91, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.370,  0.98,  1, 2.83, 0.22, 0.56, 0.00, 0.00, 1.32, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.35, 0.00, 0.25, 0.02, 3.01, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.403,  0.98,  1, 2.78, 0.17, 0.54, 0.00, 0.00, 1.55, 0.00, 0.00, 0.00, 0.00, 0.29, 0.03, 0.37, 0.00, 0.34, 0.12, 3.04, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.437,  0.98,  1, 2.78, 0.40, 0.59, 0.00, 0.00, 1.61, 0.00, 0.00, 0.00, 0.00, 0.29, 0.08, 0.43, 0.00, 0.59, 0.21, 2.98, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.470,  0.98,  1, 2.75, 0.39, 0.53, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 0.00, 0.26, 0.08, 0.53, 0.00, 0.60, 0.20, 2.82, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.504,  0.98,  1, 2.72, 0.44, 0.49, 0.00, 0.00, 1.54, 0.01, 0.00, 0.00, 0.00, 0.00, 0.04, 0.47, 0.00, 0.64, 0.10, 2.64, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
