frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.04, 0.01, 0.84, 0.10, 0.00, 0.00, 0.00, 0.87, 0.41, 0.00, 0.00, 0.90, 0.13, 0.00, 0.47, 0.88, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.16, 0.38, 0.94, 0.27, 0.00, 0.00, 0.00, 0.81, 0.46, 0.00, 0.00, 0.76, 0.04, 0.00, 0.48, 0.85, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.068,  0.98,  1, 0.17, 0.44, 0.97, 0.29, 0.00, 0.00, 0.00, 0.73, 0.48, 0.00, 0.00, 0.64, 0.00, 0.00, 0.48, 0.82, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.102,  0.98,  1, 0.09, 0.29, 1.00, 0.41, 0.00, 0.00, 0.00, 0.76, 0.48, 0.00, 0.00, 0.64, 0.00, 0.00, 0.61, 0.71, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
5,  0,  0.135,  0.98,  1, 0.05, 0.18, 1.01, 0.30, 0.00, 0.00, 0.00, 0.70, 0.44, 0.00, 0.00, 0.64, 0.00, 0.00, 0.56, 0.65, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.169,  0.98,  1, 0.12, 0.33, 1.13, 0.30, 0.00, 0.00, 0.00, 0.77, 0.45, 0.00, 0.00, 0.60, 0.00, 0.00, 0.51, 0.52, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.203,  0.98,  1, 0.19, 0.36, 1.20, 0.17, 0.00, 0.00, 0.00, 0.81, 0.43, 0.00, 0.00, 0.44, 0.00, 0.00, 0.43, 0.50, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.237,  0.98,  1, 0.23, 0.30, 1.26, 0.27, 0.00, 0.00, 0.00, 0.87, 0.43, 0.00, 0.06, 0.43, 0.00, 0.00, 0.40, 0.41, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.271,  0.98,  1, 0.20, 0.18, 1.16, 0.30, 0.00, 0.00, 0.00, 0.84, 0.41, 0.00, 0.09, 0.51, 0.00, 0.00, 0.32, 0.44, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.305,  0.98,  1, 0.10, 0.17, 1.10, 0.23, 0.00, 0.00, 0.00, 0.82, 0.42, 0.00, 0.09, 0.48, 0.05, 0.00, 0.27, 0.46, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.338,  0.98,  1, 0.06, 0.21, 1.02, 0.23, 0.00, 0.00, 0.00, 0.77, 0.42, 0.00, 0.04, 0.47, 0.05, 0.00, 0.29, 0.59, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.372,  0.98,  1, 0.05, 0.17, 1.06, 0.19, 0.00, 0.00, 0.00, 0.78, 0.43, 0.00, 0.01, 0.43, 0.05, 0.00, 0.38, 0.55, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.406,  0.98,  1, 0.10, 0.18, 1.17, 0.16, 0.00, 0.00, 0.00, 0.81, 0.42, 0.00, 0.01, 0.62, 0.00, 0.00, 0.38, 0.55, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.440,  0.98,  1, 0.10, 0.29, 1.23, 0.16, 0.00, 0.00, 0.00, 0.85, 0.44, 0.00, 0.01, 0.70, 0.00, 0.00, 0.23, 0.47, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.474,  0.98,  1, 0.05, 0.33, 1.23, 0.12, 0.00, 0.00, 0.00, 0.85, 0.41, 0.00, 0.00, 0.75, 0.00, 0.00, 0.14, 0.53, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.508,  0.98,  1, 0.01, 0.43, 1.16, 0.14, 0.00, 0.00, 0.00, 0.75, 0.42, 0.00, 0.00, 0.64, 0.00, 0.00, 0.06, 0.61, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.541,  0.98,  1, 0.05, 0.51, 1.20, 0.12, 0.00, 0.00, 0.00, 0.72, 0.44, 0.00, 0.00, 0.61, 0.00, 0.00, 0.14, 0.60, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.575,  0.98,  1, 0.07, 0.59, 1.19, 0.27, 0.00, 0.00, 0.00, 0.67, 0.46, 0.00, 0.00, 0.56, 0.00, 0.00, 0.24, 0.61, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.609,  0.98,  1, 0.12, 0.52, 1.22, 0.23, 0.00, 0.00, 0.00, 0.75, 0.46, 0.00, 0.00, 0.56, 0.00, 0.00, 0.28, 0.51, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.643,  0.98,  1, 0.08, 0.32, 1.15, 0.15, 0.00, 0.00, 0.00, 0.78, 0.46, 0.00, 0.00, 0.54, 0.00, 0.00, 0.26, 0.58, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.677,  0.98,  1, 0.06, 0.20, 1.16, 0.00, 0.00, 0.00, 0.00, 0.79, 0.45, 0.00, 0.03, 0.61, 0.03, 0.00, 0.24, 0.64, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.711,  0.98,  1, 0.02, 0.14, 1.15, 0.05, 0.00, 0.00, 0.00, 0.82, 0.46, 0.00, 0.03, 0.61, 0.11, 0.00, 0.25, 0.65, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
