frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.09, 0.16, 0.50, 0.00, 0.08, 0.00, 0.00, 0.26, 0.00, 0.09, 0.19, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.042,  0.98,  1, 0.11, 0.15, 0.61, 0.06, 0.15, 0.00, 0.00, 0.38, 0.00, 0.22, 0.11, 0.00, 0.00, 0.00, 0.25, 0.20, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.083,  0.98,  1, 0.08, 0.21, 0.75, 0.14, 0.16, 0.00, 0.00, 0.43, 0.00, 0.27, 0.04, 0.01, 0.00, 0.00, 0.22, 0.20, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.125,  0.98,  1, 0.01, 0.25, 0.84, 0.20, 0.16, 0.00, 0.00, 0.43, 0.00, 0.22, 0.04, 0.04, 0.00, 0.00, 0.22, 0.22, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.167,  0.98,  1, 0.08, 0.38, 0.85, 0.14, 0.14, 0.00, 0.00, 0.47, 0.00, 0.30, 0.00, 0.04, 0.00, 0.00, 0.18, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.209,  0.98,  1, 0.16, 0.27, 0.79, 0.07, 0.13, 0.00, 0.00, 0.48, 0.00, 0.23, 0.08, 0.05, 0.00, 0.00, 0.11, 0.04, 0.08, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.250,  0.98,  1, 0.24, 0.17, 0.76, 0.00, 0.15, 0.00, 0.00, 0.48, 0.00, 0.14, 0.12, 0.02, 0.00, 0.00, 0.03, 0.03, 0.19, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.292,  0.98,  1, 0.25, 0.04, 0.75, 0.00, 0.11, 0.00, 0.00, 0.44, 0.00, 0.11, 0.21, 0.06, 0.00, 0.00, 0.02, 0.10, 0.35, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.334,  0.98,  1, 0.27, 0.14, 0.76, 0.05, 0.12, 0.00, 0.00, 0.46, 0.00, 0.19, 0.21, 0.08, 0.00, 0.00, 0.03, 0.15, 0.41, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.375,  0.98,  1, 0.27, 0.15, 0.77, 0.05, 0.16, 0.00, 0.00, 0.55, 0.00, 0.33, 0.18, 0.08, 0.00, 0.00, 0.03, 0.16, 0.95, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
