frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.12, 0.66, 0.65, 0.42, 1.54, 1.25, 0.05, 2.76, 1.68, 2.37, 1.32, 0.97, 0.07, 0.00, 1.47, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.19, 0.53, 0.72, 0.23, 1.79, 1.02, 0.08, 2.92, 1.87, 2.25, 1.08, 0.75, 0.06, 0.00, 1.68, 0.00, 0.01, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
3,  0,  0.202,  0.98,  1, 0.15, 0.36, 0.56, 0.12, 1.87, 0.77, 0.06, 2.96, 2.12, 2.14, 0.74, 0.43, 0.04, 0.00, 1.71, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 0.26, 0.47, 0.53, 0.34, 1.93, 0.66, 0.00, 2.82, 2.25, 2.17, 0.48, 0.31, 0.08, 0.00, 1.77, 0.00, 0.25, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.42, 0.49, 0.65, 0.35, 1.91, 0.57, 0.00, 2.77, 2.32, 2.31, 0.31, 0.31, 0.06, 0.00, 1.58, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
6,  0,  0.504,  0.98,  1, 0.42, 0.44, 0.82, 0.32, 1.98, 0.62, 0.00, 2.71, 2.34, 2.37, 0.21, 0.35, 0.06, 0.03, 1.57, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
7,  0,  0.605,  0.98,  1, 0.17, 0.07, 0.63, 0.01, 1.94, 0.79, 0.00, 2.51, 2.33, 2.26, 0.00, 0.12, 0.00, 0.03, 1.51, 0.24, 0.71, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
8,  0,  0.706,  0.98,  1, 0.00, 0.07, 0.51, 0.00, 1.94, 0.81, 0.00, 2.46, 2.29, 2.10, 0.00, 0.03, 0.00, 0.03, 1.36, 0.24, 0.82, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
9,  0,  0.807,  0.98,  1, 0.00, 0.07, 0.53, 0.00, 1.81, 1.30, 0.08, 2.39, 1.95, 2.13, 0.08, 0.19, 0.00, 0.00, 1.05, 0.49, 0.62, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
10,  0,  0.907,  0.98,  1, 0.00, 0.07, 0.47, 0.00, 1.56, 1.36, 0.08, 2.44, 1.75, 2.09, 0.36, 0.29, 0.16, 0.00, 0.90, 0.62, 0.43, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
11,  0,  1.008,  0.98,  1, 0.00, 0.00, 0.37, 0.05, 1.39, 1.32, 0.08, 2.26, 1.64, 2.03, 0.53, 0.29, 0.22, 0.00, 0.91, 0.73, 0.11, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
12,  0,  1.109,  0.98,  1, 0.00, 0.00, 0.14, 0.05, 1.24, 0.74, 0.00, 2.12, 1.72, 1.85, 0.54, 0.10, 0.22, 0.00, 1.17, 0.77, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0,  1.210,  0.98,  1, 0.00, 0.00, 0.23, 0.05, 1.25, 0.62, 0.00, 2.11, 1.69, 1.80, 0.41, 0.00, 0.06, 0.00, 1.24, 0.73, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0,  1.311,  0.98,  1, 0.00, 0.00, 0.22, 0.00, 1.22, 0.57, 0.00, 2.05, 1.55, 1.83, 0.24, 0.00, 0.00, 0.07, 1.15, 0.91, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0,  1.412,  0.98,  1, 0.18, 0.19, 0.20, 0.00, 1.26, 0.65, 0.00, 2.06, 1.50, 1.90, 0.29, 0.00, 0.00, 0.20, 1.09, 0.69, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16,  0,  1.512,  0.98,  1, 0.18, 0.19, 0.06, 0.00, 1.23, 0.72, 0.02, 1.90, 1.49, 1.85, 0.29, 0.00, 0.15, 0.20, 1.21, 0.66, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
