frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.97, 0.00, 0.48, 1.00, 0.18, 1.86, 0.25, 1.44, 0.66, 1.01, 0.00, 0.00, 0.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.66, 0.00, 0.56, 0.72, 0.06, 1.77, 0.24, 1.01, 0.26, 0.99, 0.10, 0.00, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 0.49, 0.39, 0.00, 1.33, 0.26, 0.56, 0.04, 0.69, 0.10, 0.13, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 0.00, 0.00, 0.17, 0.02, 0.30, 0.21, 0.00, 1.16, 0.14, 0.26, 0.00, 0.45, 0.10, 0.23, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.17, 0.00, 0.23, 1.08, 0.09, 0.00, 0.00, 1.01, 0.15, 0.49, 0.06, 0.54, 0.10, 0.35, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.22, 0.00, 0.44, 1.08, 0.00, 0.06, 0.00, 1.31, 0.05, 0.82, 0.06, 0.61, 0.10, 0.22, 0.21, 0.08, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 0.27, 0.08, 0.68, 1.06, 0.00, 0.26, 0.00, 1.35, 0.03, 0.99, 0.11, 0.68, 0.10, 0.13, 0.19, 0.21, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.705,  0.98,  1, 0.10, 0.07, 0.71, 0.00, 0.00, 0.30, 0.00, 1.42, 0.00, 0.88, 0.20, 0.44, 0.00, 0.00, 0.03, 0.23, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 0.05, 0.07, 0.73, 0.00, 0.00, 0.28, 0.00, 1.44, 0.00, 0.91, 0.37, 0.55, 0.00, 0.00, 0.22, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.01, 0.12, 0.87, 0.45, 0.00, 0.34, 0.00, 1.55, 0.00, 1.21, 0.33, 0.63, 0.00, 0.15, 0.31, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.26, 0.56, 0.83, 0.98, 0.00, 0.30, 0.00, 1.38, 0.18, 1.82, 0.17, 0.68, 0.00, 0.15, 0.79, 0.05, 0.07, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
