frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.01, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.65, 0.92, 0.96, 1.61, 0.00, 0.15, 0.00, 1.18, 1.14, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00
2,  0,  0.040,  0.98,  1, 0.16, 0.03, 0.18, 0.00, 0.03, 0.00, 0.00, 0.00, 0.43, 1.13, 0.85, 1.42, 0.00, 0.27, 0.00, 1.61, 1.12, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
3,  0,  0.080,  0.98,  1, 0.28, 0.03, 0.27, 0.00, 0.09, 0.00, 0.00, 0.00, 0.26, 1.30, 0.72, 1.20, 0.00, 0.25, 0.14, 1.80, 1.07, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
4,  0,  0.120,  0.98,  1, 0.35, 0.11, 0.30, 0.00, 0.12, 0.00, 0.00, 0.00, 0.15, 1.37, 0.75, 0.88, 0.01, 0.10, 0.16, 1.81, 1.02, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.160,  0.98,  1, 0.39, 0.28, 0.25, 0.00, 0.19, 0.00, 0.00, 0.00, 0.15, 1.61, 0.82, 0.78, 0.09, 0.02, 0.42, 1.61, 0.98, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.200,  0.98,  1, 0.46, 0.39, 0.22, 0.00, 0.18, 0.00, 0.00, 0.00, 0.12, 1.62, 1.07, 0.82, 0.31, 0.00, 0.54, 1.43, 0.87, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.240,  0.98,  1, 0.38, 0.36, 0.23, 0.00, 0.22, 0.00, 0.00, 0.00, 0.23, 1.70, 1.14, 0.87, 0.40, 0.04, 0.70, 1.15, 0.83, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.280,  0.98,  1, 0.35, 0.19, 0.25, 0.00, 0.23, 0.00, 0.00, 0.00, 0.30, 1.84, 1.18, 0.81, 0.50, 0.04, 0.57, 0.98, 0.77, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.320,  0.98,  1, 0.26, 0.21, 0.15, 0.00, 0.24, 0.00, 0.00, 0.00, 0.43, 1.78, 1.20, 0.63, 0.55, 0.04, 0.60, 0.90, 0.89, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.360,  0.98,  1, 0.35, 0.28, 0.06, 0.00, 0.23, 0.00, 0.00, 0.00, 0.39, 1.82, 1.26, 0.46, 0.79, 0.00, 0.63, 0.93, 0.88, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.400,  0.98,  1, 0.41, 0.33, 0.01, 0.00, 0.25, 0.00, 0.00, 0.00, 0.44, 1.67, 1.33, 0.34, 1.01, 0.00, 0.68, 0.85, 0.94, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.440,  0.98,  1, 0.45, 0.33, 0.01, 0.00, 0.31, 0.00, 0.00, 0.00, 0.48, 1.83, 1.31, 0.23, 0.87, 0.00, 0.40, 0.63, 0.97, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.480,  0.98,  1, 0.44, 0.19, 0.08, 0.00, 0.36, 0.00, 0.00, 0.00, 0.52, 1.69, 1.41, 0.34, 0.77, 0.00, 0.28, 0.46, 0.89, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.520,  0.98,  1, 0.42, 0.16, 0.14, 0.00, 0.30, 0.00, 0.00, 0.00, 0.44, 1.63, 1.37, 0.40, 0.71, 0.00, 0.24, 0.42, 0.70, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.560,  0.98,  1, 0.49, 0.15, 0.14, 0.00, 0.24, 0.00, 0.00, 0.00, 0.33, 1.57, 1.44, 0.64, 0.90, 0.00, 0.32, 0.53, 0.47, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.600,  0.98,  1, 0.48, 0.21, 0.07, 0.00, 0.19, 0.00, 0.00, 0.00, 0.29, 1.47, 1.53, 0.60, 0.98, 0.00, 0.29, 0.56, 0.42, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
