frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.88,  1, 2.00, 2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 1.14, 0.47, 0.00, 0.00, 0.91, 1.25, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.88,  1, 1.13, 1.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 1.57, 0.78, 0.00, 0.41, 0.43, 0.81, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.202,  0.03,  0, 0.47, 0.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.19, 0.62, 0.00, 0.41, 0.13, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.03,  0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.03,  0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.52,  0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.73,  0, 0.27, 0.00, 0.29, 0.03, 0.00, 0.00, 0.00, 0.12, 0.00, 0.29, 1.25, 0.42, 0.00, 0.02, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.705,  0.98,  1, 0.27, 0.00, 0.29, 0.03, 0.00, 0.00, 0.00, 0.16, 0.12, 1.07, 2.05, 0.54, 0.00, 0.10, 1.23, 0.25, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.88,  1, 0.43, 0.02, 0.39, 0.03, 0.00, 0.02, 0.00, 0.16, 0.12, 1.72, 2.62, 0.54, 0.00, 0.16, 1.81, 0.56, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.907,  0.88,  1, 0.51, 0.12, 0.31, 0.00, 0.00, 0.02, 0.00, 0.19, 0.21, 2.07, 1.59, 0.11, 0.00, 0.14, 1.62, 1.09, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.71, 0.29, 0.47, 0.00, 0.00, 0.02, 0.00, 0.24, 0.09, 1.79, 1.16, 0.00, 0.00, 0.13, 1.67, 1.16, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0,  1.109,  0.88,  1, 1.09, 0.76, 0.91, 0.17, 0.00, 0.00, 0.00, 0.37, 0.17, 1.71, 0.71, 0.02, 0.00, 0.13, 1.72, 1.18, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0,  1.209,  0.88,  1, 0.93, 1.26, 0.70, 0.18, 0.00, 0.00, 0.21, 0.22, 0.08, 1.50, 0.50, 0.37, 0.00, 0.13, 1.97, 0.88, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0,  1.310,  0.88,  1, 0.97, 1.75, 0.54, 0.18, 0.00, 0.00, 0.32, 0.13, 0.08, 1.33, 0.37, 0.37, 0.00, 0.06, 2.38, 1.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0,  1.411,  0.88,  1, 0.96, 1.76, 0.00, 0.08, 0.00, 0.00, 0.31, 0.00, 0.00, 1.13, 0.59, 0.44, 0.00, 0.00, 2.06, 1.25, 0.40, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16,  0,  1.512,  0.93,  1, 1.41, 1.50, 0.10, 0.17, 0.00, 0.00, 0.10, 0.00, 0.00, 0.85, 0.79, 0.15, 0.00, 0.00, 1.35, 1.18, 0.40, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17,  0,  1.613,  0.88,  1, 1.28, 0.94, 0.10, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 0.60, 0.15, 0.00, 0.00, 1.05, 0.99, 0.40, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
