frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.55, 0.00, 0.00, 0.33, 0.14, 0.02, 0.65, 1.49, 0.00, 0.00, 0.20, 0.38, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.00, 0.00, 0.54, 0.00, 0.00, 0.32, 0.12, 0.07, 0.80, 1.36, 0.04, 0.20, 0.34, 0.36, 0.00, 0.98, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.37, 0.07, 0.07, 0.91, 1.25, 0.04, 0.20, 0.35, 0.31, 0.00, 1.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.50, 0.00, 0.00, 0.54, 0.03, 0.01, 0.85, 1.39, 0.04, 0.00, 0.28, 0.27, 0.00, 0.90, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.00, 0.00, 0.47, 0.00, 0.00, 0.45, 0.01, 0.06, 0.86, 1.35, 0.00, 0.03, 0.50, 0.28, 0.00, 0.90, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.41, 0.01, 0.12, 0.83, 1.33, 0.05, 0.10, 0.61, 0.29, 0.00, 0.79, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.49, 0.00, 0.00, 0.25, 0.01, 0.15, 0.87, 1.19, 0.05, 0.13, 0.73, 0.37, 0.00, 0.72, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.06, 0.00, 0.63, 0.00, 0.00, 0.34, 0.04, 0.16, 0.93, 1.19, 0.14, 0.14, 0.68, 0.41, 0.00, 0.71, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.06, 0.00, 0.68, 0.00, 0.00, 0.38, 0.09, 0.09, 0.91, 1.21, 0.09, 0.07, 0.80, 0.43, 0.00, 0.74, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.303,  0.98,  1, 0.06, 0.00, 0.72, 0.00, 0.00, 0.53, 0.15, 0.11, 0.88, 1.08, 0.11, 0.04, 0.76, 0.32, 0.00, 0.84, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.336,  0.98,  1, 0.00, 0.00, 0.72, 0.00, 0.00, 0.75, 0.15, 0.11, 0.85, 0.96, 0.02, 0.01, 0.72, 0.22, 0.00, 0.82, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.370,  0.98,  1, 0.00, 0.00, 0.71, 0.00, 0.00, 0.84, 0.15, 0.18, 0.91, 0.78, 0.09, 0.20, 0.63, 0.29, 0.00, 0.77, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
