frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 1.38, 0.68, 0.98, 0.00, 0.00, 0.25, 0.00, 0.12, 0.00, 0.94, 0.29, 0.15, 0.00, 0.00, 0.41, 0.31, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.061,  0.98,  1, 1.24, 0.49, 0.96, 0.09, 0.00, 0.08, 0.00, 0.10, 0.00, 1.03, 0.18, 0.24, 0.00, 0.00, 0.32, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.121,  0.98,  1, 1.19, 0.46, 0.97, 0.15, 0.00, 0.00, 0.00, 0.16, 0.00, 1.06, 0.18, 0.27, 0.00, 0.00, 0.19, 0.29, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 1.23, 0.50, 0.94, 0.12, 0.00, 0.02, 0.00, 0.25, 0.00, 1.09, 0.21, 0.33, 0.00, 0.00, 0.05, 0.33, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.243,  0.98,  1, 1.33, 0.67, 1.06, 0.05, 0.00, 0.02, 0.00, 0.28, 0.00, 1.14, 0.26, 0.36, 0.00, 0.00, 0.06, 0.33, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.303,  0.98,  1, 1.33, 0.66, 1.18, 0.05, 0.00, 0.14, 0.00, 0.24, 0.00, 1.17, 0.21, 0.40, 0.09, 0.00, 0.09, 0.34, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.364,  0.98,  1, 1.35, 0.73, 1.29, 0.05, 0.00, 0.13, 0.00, 0.22, 0.00, 1.20, 0.26, 0.36, 0.11, 0.00, 0.10, 0.27, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.425,  0.98,  1, 1.30, 0.68, 1.36, 0.05, 0.00, 0.13, 0.00, 0.22, 0.00, 1.19, 0.22, 0.38, 0.12, 0.00, 0.10, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.485,  0.98,  1, 1.31, 0.65, 1.34, 0.00, 0.00, 0.19, 0.00, 0.22, 0.00, 1.17, 0.28, 0.39, 0.07, 0.00, 0.19, 0.26, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.546,  0.98,  1, 1.28, 0.54, 1.38, 0.00, 0.00, 0.38, 0.00, 0.19, 0.00, 1.15, 0.24, 0.33, 0.15, 0.00, 0.31, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.607,  0.98,  1, 1.30, 0.49, 1.27, 0.00, 0.00, 0.53, 0.00, 0.15, 0.00, 1.12, 0.29, 0.28, 0.26, 0.00, 0.34, 0.21, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.667,  0.98,  1, 1.31, 0.58, 1.23, 0.00, 0.00, 0.46, 0.00, 0.15, 0.00, 1.14, 0.22, 0.26, 0.22, 0.00, 0.38, 0.18, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.728,  0.98,  1, 1.30, 0.66, 1.24, 0.00, 0.00, 0.46, 0.00, 0.22, 0.00, 1.10, 0.27, 0.35, 0.12, 0.00, 0.33, 0.21, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
