frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.72, 0.14, 1.17, 0.00, 0.00, 0.59, 0.22, 0.10, 0.00, 1.19, 0.44, 0.02, 0.08, 0.00, 0.40, 0.35, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.061,  0.98,  1, 0.56, 0.08, 1.02, 0.00, 0.00, 0.50, 0.11, 0.05, 0.00, 1.13, 0.29, 0.03, 0.03, 0.00, 0.44, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.121,  0.98,  1, 0.48, 0.04, 0.99, 0.00, 0.00, 0.57, 0.03, 0.02, 0.00, 1.13, 0.23, 0.02, 0.00, 0.00, 0.44, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 0.51, 0.10, 1.03, 0.00, 0.00, 0.62, 0.04, 0.04, 0.00, 1.12, 0.17, 0.01, 0.02, 0.00, 0.50, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.243,  0.98,  1, 0.48, 0.09, 1.00, 0.00, 0.00, 0.65, 0.04, 0.05, 0.00, 1.21, 0.15, 0.06, 0.02, 0.00, 0.46, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.303,  0.98,  1, 0.47, 0.17, 0.99, 0.00, 0.00, 0.58, 0.09, 0.05, 0.00, 1.17, 0.15, 0.09, 0.02, 0.00, 0.45, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.364,  0.98,  1, 0.47, 0.21, 0.98, 0.00, 0.00, 0.62, 0.10, 0.03, 0.00, 1.20, 0.21, 0.16, 0.01, 0.00, 0.43, 0.28, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.425,  0.98,  1, 0.48, 0.25, 0.98, 0.00, 0.00, 0.73, 0.10, 0.00, 0.00, 1.18, 0.21, 0.14, 0.02, 0.00, 0.49, 0.27, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.485,  0.98,  1, 0.51, 0.18, 1.01, 0.00, 0.00, 0.75, 0.07, 0.03, 0.00, 1.23, 0.17, 0.15, 0.05, 0.00, 0.54, 0.24, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.546,  0.98,  1, 0.58, 0.16, 1.05, 0.00, 0.00, 0.78, 0.08, 0.03, 0.00, 1.28, 0.10, 0.12, 0.04, 0.00, 0.58, 0.23, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
