frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.06, 0.25, 0.12, 0.00, 0.51, 0.00, 0.37, 0.00, 0.40, 0.00, 1.52, 0.16, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.040,  0.98,  1, 0.36, 0.21, 0.32, 0.00, 0.53, 0.00, 0.16, 0.00, 0.51, 0.00, 1.32, 0.18, 0.99, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.080,  0.98,  1, 0.54, 0.13, 0.32, 0.00, 0.62, 0.00, 0.18, 0.00, 0.71, 0.00, 1.51, 0.13, 1.21, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.120,  0.98,  1, 0.46, 0.22, 0.29, 0.00, 0.73, 0.00, 0.20, 0.00, 0.75, 0.00, 1.77, 0.07, 1.29, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.160,  0.98,  1, 0.50, 0.13, 0.13, 0.00, 0.69, 0.00, 0.35, 0.00, 0.74, 0.00, 1.74, 0.00, 1.15, 0.00, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.200,  0.98,  1, 0.47, 0.26, 0.09, 0.00, 0.71, 0.00, 0.37, 0.00, 0.60, 0.00, 1.80, 0.00, 0.93, 0.00, 0.15, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.240,  0.98,  1, 0.47, 0.30, 0.08, 0.00, 0.67, 0.00, 0.45, 0.00, 0.69, 0.00, 1.82, 0.00, 0.95, 0.00, 0.23, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.280,  0.98,  1, 0.39, 0.26, 0.15, 0.00, 0.72, 0.00, 0.50, 0.00, 0.67, 0.13, 1.83, 0.00, 0.52, 0.00, 0.23, 0.00, 0.14, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.320,  0.98,  1, 0.37, 0.20, 0.36, 0.00, 0.62, 0.00, 0.39, 0.00, 0.55, 0.40, 1.25, 0.09, 0.57, 0.00, 0.18, 0.02, 0.85, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.360,  0.98,  1, 0.40, 0.15, 0.62, 0.00, 0.56, 0.00, 0.31, 0.00, 0.34, 0.93, 0.70, 0.09, 0.59, 0.00, 0.41, 0.02, 1.56, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
